OBJECTID,SITE_NO,geo_point_2d
48718,5189,"-38.162383797594075, 144.35663600498583"
48831,1296,"-38.145022849781036, 145.12365487190928"
48835,999,"-37.830457857182324, 145.2638028830442"
48849,5131,"-38.201182796259594, 144.32676800621036"
48891,3131,"-37.8287268476914, 145.12183190788753"
48926,40062,"-37.69431283340463, 144.9253099566242"
48940,1406,"-38.11138686338823, 145.3284058404819"
48959,3973,"-37.82242083698087, 144.97201993423946"
48962,2698,"-37.65485084063288, 145.03122994186322"
48982,2999,"-37.87891583835982, 144.97895092677155"
48983,531,"-38.26127485517824, 145.18975184735012"
48988,562,"-37.885911857741824, 145.2690488758365"
48993,40019,"-37.768286825895565, 144.80880596813702"
49020,40056,"-37.68593183167601, 144.90074596108516"
49040,1161,"-37.80288183219965, 144.9052799475424"
49041,1162,"-37.638306833449064, 144.93092096118295"
49044,986,"-38.15937485272501, 145.17003086230963"
49051,2818,"-37.6487658375305, 144.99466594904396"
49054,5270,"-37.86709182295148, 144.7608889657729"
49059,2976,"-37.684789824106836, 144.7888409808058"
49066,1509,"-37.68463280909144, 144.56345102034265"
49079,5283,"-37.85270582082886, 144.73119197270273"
49103,2566,"-37.63352484007845, 145.02702994543571"
49107,3526,"-37.844003828362325, 144.84608595336854"
49111,1248,"-37.872548844460894, 145.06924191216225"
49131,1251,"-38.04041086396092, 145.3429258449856"
49149,5156,"-38.02275879982725, 144.3954870134511"
49155,1331,"-38.07910985780084, 145.25113085780015"
49170,4250,"-37.81178883004017, 144.87449695271135"
45096,4224,"-37.82649484090746, 145.02015992556983"
45114,6684,"-38.196095951426365, 146.53668561846877"
49173,4304,"-37.766658841616966, 145.04315192768556"
45126,943,"-37.934010850127876, 145.15560388989056"
45135,5238,"-37.87873781975582, 144.70858697393513"
45140,6681,"-38.40751987930182, 145.53027877060393"
49195,2493,"-37.74233282526426, 144.79871697290292"
45143,399,"-38.0492468642283, 145.34042584482762"
49208,40202,"-37.88675784683747, 145.10825190394982"
45157,6250,"-36.73568978348363, 144.26689116832603"
45160,2813,"-37.6450538356851, 144.96281995464963"
49326,5326,"-38.06008979767645, 144.35854501538296"
45167,3485,"-37.844320824297, 144.78323696513075"
49329,6649,"-38.602582884992394, 145.59340073778392"
45181,6827,"-38.36679768233868, 142.4640483216858"
45184,964,"-38.03328385589481, 145.22506286734557"
49355,3765,"-37.88292782152485, 144.7331629687716"
45222,1155,"-37.99460385714314, 145.24027786896937"
49364,40139,"-37.751886827454385, 144.83050596592852"
45225,1104,"-37.84616185373902, 145.2163368889376"
45245,530,"-38.02816686227202, 145.32192285101536"
49368,6068,"-36.38698685945652, 145.4269620122957"
45253,595,"-38.01300285408926, 145.20176287370288"
49375,1565,"-38.068241871270544, 145.43633282611856"
45254,6654,"-38.23979294232395, 146.40893163633189"
49397,1512,"-37.59017983187583, 144.91066097036503"
45255,3949,"-37.89748584004092, 145.00479292068"
49414,2031,"-37.677140828008746, 144.84876997087943"
45304,4484,"-37.79496183480968, 144.93486594360994"
45308,4493,"-37.800514835383254, 144.9459069410211"
49430,5997,"-37.354786818665175, 144.74350602364143"
45329,5088,"-38.20309779709693, 144.34096500444622"
45333,5063,"-38.178207796489104, 144.33935400702683"
49439,1183,"-37.79783283091572, 144.8813879525951"
45346,801,"-37.919177855998846, 145.2347208774742"
45377,4495,"-37.80100983573892, 144.95042993974258"
45386,2984,"-37.84831083970177, 145.0049029252575"
49481,2183,"-37.62844483424761, 144.94903795883434"
45399,5334,"-38.21494679671471, 144.32642200575918"
45400,2502,"-37.791058833534514, 144.91982594692175"
46465,3237,"-37.665561839430886, 145.01659694383972"
46472,4293,"-37.73555084229512, 145.05986392789976"
45452,5101,"-38.111545797628516, 144.34980701234548"
45481,5607,"-38.109340991655024, 147.06817253655117"
45488,5209,"-38.16867280012805, 144.3845130001694"
45498,4790,"-37.73878783970684, 145.01154293679042"
45514,3272,"-37.75578484013255, 145.02082393319006"
45593,4584,"-37.81834383585202, 144.95663493712965"
45594,4585,"-37.819056835849054, 144.95415493709413"
45623,4888,"-37.82362183657043, 144.96731793440657"
45695,5227,"-38.180787797454194, 144.35396400378093"
45754,4211,"-37.770868832424775, 144.90850795028936"
45902,4437,"-37.81787283573811, 144.9505619385299"
45929,154,"-37.78157088199869, 145.61413482764996"
45952,4800,"-37.818052838550756, 144.99462993107267"
48729,3965,"-37.986047842356335, 145.03291390587233"
48730,4165,"-37.69005184275968, 145.0649229328943"
48731,3752,"-37.83162183514788, 144.94229793817655"
48753,877,"-37.85998285925485, 145.28792287532568"
48764,40095,"-37.68706784031846, 145.02625393950873"
48802,40111,"-37.69350183389774, 144.93533695463893"
48816,3690,"-37.87541384536779, 145.09160690802122"
48828,5155,"-37.77930688125165, 145.6063778291368"
48841,833,"-38.35657283584886, 144.90076488827918"
48851,2894,"-37.66410683027925, 144.88481696694936"
48882,2526,"-37.86814084054162, 145.01368492145022"
48990,2581,"-37.794607824929926, 144.78983496838862"
48999,40032,"-37.72872282901528, 144.85833396439702"
49002,40035,"-37.726717828883785, 144.86003596450328"
49012,40048,"-37.703035830677806, 144.89164796081948"
49019,40055,"-37.70096883088876, 144.89422296049412"
49032,1368,"-37.702300820862035, 144.7423459864822"
49067,2743,"-37.73220983001804, 144.8806499601906"
49081,547,"-38.07080287521869, 145.49285981609097"
49089,1214,"-37.63722482451809, 144.80426298302203"
49099,5342,"-37.882799817682404, 144.68204497825312"
49123,2500,"-37.78768083347053, 144.92521794578664"
49125,2026,"-37.84972584762159, 145.11525890577292"
49145,1704,"-38.095402852890956, 145.17603186805553"
49153,2442,"-37.885183843641606, 145.0578309119573"
49156,1511,"-38.00598285421944, 145.20730687312988"
49157,2992,"-37.699503830295875, 144.8803499630906"
49168,1599,"-38.336824854466066, 145.1774838418775"
49184,1520,"-37.80993686303521, 145.34225587161592"
49192,40472,"-37.73220282996216, 144.87946695952604"
49193,40476,"-37.701016825249624, 144.81135697541276"
49203,1412,"-38.07909987073555, 145.43114382579964"
